observation_id,observer,species,location,date_observed
1,Alice,Blue Morpho,Garden,2020-11-25
2,Bob,Painted Lady,Rainforest,2018-07-28
3,Dana,Monarch,Meadow,2018-02-08
4,Alice,Painted Lady,Desert,2020-12-23
5,Bob,Red Admiral,Rainforest,2015-12-28
6,Dana,Swallowtail,Rainforest,2020-12-16
7,Charlie,Monarch,Meadow,2020-03-14
8,Charlie,Blue Morpho,Desert,2018-07-08
9,Bob,Red Admiral,Mountain,2016-05-29
10,Charlie,Swallowtail,Desert,2016-03-24
11,Alice,Painted Lady,Garden,2020-04-07
12,Dana,Swallowtail,Rainforest,2019-02-15
13,Alice,Red Admiral,Garden,2018-06-01
14,Alice,Red Admiral,Mountain,2020-01-30
15,Charlie,Swallowtail,Garden,2017-05-23
16,Alice,Painted Lady,Desert,2018-11-29
17,Charlie,Swallowtail,Garden,2019-10-21
18,Dana,Red Admiral,Mountain,2017-07-11
19,Dana,Red Admiral,Mountain,2020-11-29
20,Alice,Blue Morpho,Mountain,2017-11-02
21,Bob,Blue Morpho,Desert,2018-11-17
22,Charlie,Monarch,Mountain,2015-11-10
23,Charlie,Red Admiral,Rainforest,2020-06-20
24,Alice,Blue Morpho,Mountain,2017-11-03
25,Charlie,Swallowtail,Garden,2019-07-15
26,Charlie,Painted Lady,Garden,2019-11-14
27,Bob,Swallowtail,Garden,2017-10-11
28,Bob,Painted Lady,Desert,2017-12-29
29,Alice,Blue Morpho,Garden,2018-01-29
30,Bob,Monarch,Desert,2016-11-28
31,Alice,Swallowtail,Desert,2020-12-19
32,Dana,Swallowtail,Mountain,2018-11-05
33,Alice,Swallowtail,Rainforest,2018-03-01
34,Dana,Painted Lady,Mountain,2017-11-09
35,Alice,Blue Morpho,Mountain,2020-04-13
36,Charlie,Swallowtail,Desert,2017-10-10
37,Bob,Swallowtail,Desert,2015-08-15
38,Dana,Monarch,Garden,2020-01-03
39,Alice,Monarch,Garden,2019-02-01
40,Bob,Blue Morpho,Mountain,2017-04-01
41,Alice,Blue Morpho,Meadow,2020-07-16
42,Bob,Red Admiral,Meadow,2017-05-20
43,Bob,Monarch,Garden,2020-09-16
44,Alice,Red Admiral,Meadow,2019-12-01
45,Dana,Painted Lady,Garden,2015-07-07
46,Dana,Red Admiral,Desert,2017-12-16
47,Charlie,Swallowtail,Mountain,2017-07-29
48,Bob,Red Admiral,Rainforest,2016-06-09
49,Charlie,Blue Morpho,Mountain,2015-12-02
50,Charlie,Painted Lady,Garden,2017-12-14
51,Alice,Swallowtail,Garden,2015-06-11
52,Alice,Red Admiral,Mountain,2016-08-16
53,Alice,Painted Lady,Garden,2020-04-22
54,Bob,Painted Lady,Meadow,2015-03-01
55,Alice,Swallowtail,Meadow,2020-03-16
56,Alice,Red Admiral,Garden,2016-02-10
57,Bob,Painted Lady,Garden,2016-10-25
58,Bob,Painted Lady,Meadow,2018-02-06
59,Dana,Monarch,Garden,2018-01-04
60,Alice,Painted Lady,Garden,2016-06-25
61,Alice,Monarch,Mountain,2018-08-30
62,Alice,Red Admiral,Rainforest,2017-09-24
63,Dana,Red Admiral,Meadow,2018-02-14
64,Alice,Red Admiral,Mountain,2017-05-17
65,Dana,Blue Morpho,Rainforest,2020-08-28
66,Charlie,Red Admiral,Garden,2016-03-07
67,Dana,Painted Lady,Garden,2017-01-09
68,Charlie,Swallowtail,Mountain,2018-10-05
69,Alice,Monarch,Garden,2015-07-02
70,Charlie,Blue Morpho,Desert,2020-11-30
71,Dana,Red Admiral,Mountain,2018-04-21
72,Bob,Red Admiral,Rainforest,2018-03-15
73,Charlie,Swallowtail,Mountain,2017-04-10
74,Charlie,Swallowtail,Meadow,2019-07-10
75,Alice,Blue Morpho,Mountain,2018-02-10
76,Dana,Monarch,Garden,2016-04-20
77,Charlie,Red Admiral,Garden,2018-08-19
78,Charlie,Blue Morpho,Desert,2017-08-28
79,Charlie,Painted Lady,Desert,2017-10-16
80,Charlie,Painted Lady,Desert,2018-02-15
81,Bob,Blue Morpho,Rainforest,2020-01-11
82,Dana,Red Admiral,Desert,2015-06-10
83,Alice,Blue Morpho,Rainforest,2015-07-17
84,Alice,Red Admiral,Desert,2018-07-07
85,Bob,Swallowtail,Rainforest,2016-10-21
86,Dana,Blue Morpho,Mountain,2019-11-11
87,Charlie,Red Admiral,Mountain,2017-12-06
88,Bob,Blue Morpho,Garden,2020-07-03
89,Dana,Blue Morpho,Rainforest,2016-02-03
90,Charlie,Red Admiral,Meadow,2019-09-30
91,Bob,Red Admiral,Garden,2019-05-02
92,Dana,Monarch,Mountain,2020-10-26
93,Alice,Blue Morpho,Rainforest,2020-12-11
94,Alice,Painted Lady,Desert,2015-03-16
95,Dana,Blue Morpho,Meadow,2020-12-24
96,Alice,Blue Morpho,Mountain,2016-08-24
97,Dana,Red Admiral,Garden,2017-04-16
98,Charlie,Blue Morpho,Rainforest,2019-03-09
99,Dana,Blue Morpho,Meadow,2016-05-14
